Datum;Dax30;Dax30lag;S&P500;S&P500lag
08.09.1999;0,173240147;1,033315718;-0,456669602;-0,491358224
09.09.1999;0,669542837;0,173240147;0,261267358;-0,456669602
10.09.1999;0,866124932;0,669542837;0,296800155;0,261267358
13.09.1999;-0,67542556;0,866124932;-0,533771144;0,296800155
14.09.1999;-0,834234456;-0,67542556;-0,582539865;-0,533771144
15.09.1999;-0,264557611;-0,834234456;-1,367515397;-0,582539865
16.09.1999;-1,53623974;-0,264557611;0,044544736;-1,367515397
17.09.1999;-0,009049057;-1,53623974;1,286188928;0,044544736
20.09.1999;0,905741769;-0,009049057;0,010047886;1,286188928
21.09.1999;-1,293353114;0,905741769;-2,09258961;0,010047886
